"Дата";"Регион";"Регион население";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день"
06.10.2020;Ульяновская обл.;1246618;16304;13654;173;0;149;100
05.01.2021;Кировская обл.;1283238;26804;20425;235;1;228;257
02.06.2020;Волгоградская обл.;2521276;3334;1097;20;0;119;66
16.07.2020;Курская обл.;1115237;5765;4042;48;0;31;60
04.05.2020;Костромская обл.;643324;266;60;3;0;13;15
26.10.2020;Краснодарский край;5603420;16734;11411;391;6;131;28
16.10.2020;Ненецкий АО;43997;372;136;0;0;9;0
25.07.2020;Омская обл.;1960081;6077;3967;60;4;108;260
06.01.2021;Алтай;218063;14066;13218;108;0;47;16
10.03.2021;Хакасия;537513;21492;20565;479;2;9;44
10.12.2020;Самарская обл.;3193514;25055;22836;478;7;283;305
27.04.2021;Нижегородская обл.;3234752;113443;108709;3142;12;170;192
04.02.2021;Оренбургская обл.;1977720;34709;30905;498;6;154;153
19.04.2021;Красноярский край;2876497;69071;63735;3382;11;119;100
03.11.2020;Кемеровская обл.;2694877;15823;11586;234;7;198;290
08.08.2020;Крым;1913731;1410;1041;16;0;24;31
22.09.2020;Томская обл.;1078280;6895;5598;79;0;61;20
11.03.2021;Саратовская обл.;2462950;51527;46369;700;5;173;145
21.07.2020;Башкортостан;4063293;6386;4697;21;0;38;60
09.11.2020;Саха (Якутия);964330;15444;9460;179;2;203;10
23.12.2020;Чувашия;1231117;15454;13790;443;12;125;118
14.04.2021;Тыва;321722;15781;15140;200;0;2;24
30.12.2020;Вологодская обл.;1176689;23081;18337;416;6;356;370
20.06.2020;Тюменская обл.;1498779;2529;1503;16;1;49;29
30.03.2020;Забайкальский край;1072806;1;1;0;0;0;0
23.07.2020;Приморский край;1913037;5948;4434;67;1;110;84
15.09.2020;Рязанская обл.;1121474;7614;6483;47;0;30;25
14.03.2021;Ингушетия;488043;14936;13209;178;0;10;1
04.05.2020;Ставропольский край;2800674;788;164;17;2;57;29
04.04.2021;Владимирская обл.;1378337;30258;27341;1009;3;71;76
22.04.2021;Мурманская обл.;753557;50146;47568;1140;0;21;40
24.10.2020;Новосибирская обл.;2788849;16040;13538;557;5;179;87
16.09.2020;Смоленская обл.;949348;6369;5576;137;1;11;8
24.12.2020;Еврейская АО;162014;3623;2516;63;1;28;31
27.12.2020;Ямало-Ненецкий АО;538547;31418;23919;322;3;174;219
09.12.2020;Карачаево-Черкессия;466305;13081;11274;36;0;97;236
