"Дата";"Регион";"Регион население";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день"
21.08.2020;Самарская обл.;3193514;7794;6019;122;0;44;53
11.01.2021;Томская обл.;1078280;25992;22319;231;0;127;199
30.08.2020;Ставропольский край;2800674;11857;8067;233;3;127;16
04.09.2020;Карелия;622484;3229;2340;16;0;23;46
04.02.2021;Ненецкий АО;43997;932;798;1;0;3;7
17.12.2020;Омская обл.;1960081;26695;24063;766;8;241;226
07.11.2020;Марий Эл;682333;6438;5214;67;0;46;32
01.12.2020;Москва;12506468;612248;458409;8978;76;6524;6225
23.03.2021;Севастополь;436670;12905;11970;552;3;34;21
04.11.2020;Курская обл.;1115237;11423;8476;109;6;135;151
23.04.2020;Алтай;218063;9;0;0;0;1;0
03.11.2020;Астраханская обл.;1017514;9946;7477;175;3;126;65
28.04.2021;Псковская обл.;636546;36057;26851;336;2;52;216
16.09.2020;Кировская обл.;1283238;7572;5426;114;2;60;52
05.01.2021;Пензенская обл.;1331655;27046;21738;331;3;197;146
08.12.2020;Новгородская обл.;606476;13492;9414;92;3;213;281
03.09.2020;Магаданская обл.;144091;1992;1660;18;0;26;27
05.04.2020;Ярославская обл.;1265684;6;1;0;0;1;0
18.01.2021;Удмуртия;1513044;23265;19584;445;2;194;186
27.01.2021;Белгородская обл.;1549876;26762;24305;352;5;176;199
08.11.2020;Иркутская обл.;2404195;26264;22496;494;10;250;295
19.06.2020;Ингушетия;488043;2755;2205;64;0;30;18
30.05.2020;Вологодская обл.;1176689;882;332;7;0;22;12
05.08.2020;Еврейская АО;162014;543;486;8;0;2;0
26.10.2020;Забайкальский край;1072806;10422;7070;118;4;234;34
29.07.2020;ХМАО – Югра;1655074;15990;11998;128;0;173;311
14.08.2020;Московская обл.;7503385;65628;49225;1139;3;156;159
03.06.2020;Пермский край;2623122;1911;1221;22;0;72;74
03.10.2020;Архангельская обл.;1111031;13896;10257;261;1;160;47
08.12.2020;Татарстан;3894284;11048;9642;152;2;90;93
14.10.2020;Ростовская обл.;4220452;25455;20335;614;9;280;307
16.03.2021;Липецкая обл.;1150201;26264;22822;481;5;95;131
15.12.2020;Башкортостан;4063293;16472;13146;108;2;155;94
17.07.2020;Саха (Якутия);964330;5089;4623;39;1;55;98
27.03.2021;Краснодарский край;5603420;41929;36758;2277;11;114;85
12.11.2020;Тюменская обл.;1498779;15249;9826;99;2;158;133
20.03.2020;Липецкая обл.;1150201;3;3;0;0;0;3
08.01.2021;Рязанская обл.;1121474;19228;17500;181;0;133;109
30.12.2020;Свердловская обл.;4325256;58188;50524;1491;17;406;409
09.01.2021;Санкт-Петербург;5351935;273025;163732;8328;69;3006;1641
19.03.2021;Кемеровская обл.;2694877;32691;31819;592;1;47;49
04.12.2020;Красноярский край;2876497;37568;30027;1211;21;332;361
26.11.2020;Нижегородская обл.;3234752;52633;46734;1112;15;453;677
06.11.2020;Иркутская обл.;2404195;25761;21851;479;11;245;294
28.12.2020;Северная Осетия;701765;11750;10398;97;0;89;63
10.02.2021;Калининградская обл.;994599;25834;23153;229;4;164;175
28.03.2020;Тыва;321722;0;0;0;0;0;0
11.11.2020;Саратовская обл.;2462950;22686;15620;175;1;209;275
11.01.2021;Камчатский край;315557;10926;9553;82;0;74;67
18.09.2020;Кировская обл.;1283238;7701;5493;118;2;67;33
30.04.2021;Псковская обл.;636546;36191;27271;338;2;69;211
25.03.2021;Севастополь;436670;12977;12038;557;2;36;33
02.11.2020;Курская обл.;1115237;11155;8229;100;0;130;36
09.04.2021;Марий Эл;682333;12718;11888;217;0;18;27
17.07.2020;Чувашия;1231117;6110;3307;48;0;55;27
16.03.2021;Москва;12506468;1003280;922899;15872;57;1533;1475
01.12.2020;Карачаево-Черкессия;466305;12312;9076;34;0;90;184
02.02.2021;Ненецкий АО;43997;926;787;0;0;6;5
23.06.2020;Ярославская обл.;1265684;4482;2686;17;0;47;217
19.12.2020;Омская обл.;1960081;27177;24570;781;7;242;251
16.06.2020;Магаданская обл.;144091;511;231;4;0;10;7
09.01.2021;Томская обл.;1078280;25736;21889;226;0;125;215
12.03.2020;Татарстан;3894284;0;0;0;0;0;0
19.08.2020;Самарская обл.;3193514;7706;5895;121;4;43;60
12.04.2020;Севастополь;436670;6;2;0;0;0;0
11.02.2021;Воронежская обл.;2333768;62272;56028;1719;23;363;371
07.12.2020;Мурманская обл.;753557;29427;26287;513;3;286;281
21.12.2020;Владимирская обл.;1378337;16764;15065;414;0;185;173
29.12.2020;Волгоградская обл.;2521276;34875;33127;447;4;271;274
25.03.2021;Адыгея;453376;14039;12962;160;0;9;63
26.02.2021;Костромская обл.;643324;18318;15427;354;5;33;85
30.03.2020;Краснодарский край;5603420;17;1;0;0;0;0
19.04.2021;Дагестан;3063885;31859;29486;1431;1;45;37
02.08.2020;Сахалинская обл.;490181;2685;1233;0;0;60;135
12.05.2020;Ставропольский край;2800674;1125;325;21;1;41;24
19.05.2020;Брянская обл.;1210982;2405;1042;30;0;112;25
10.04.2021;Ямало-Ненецкий АО;538547;38195;36864;409;0;20;29
24.09.2020;Тамбовская обл.;1033552;7478;6529;46;0;39;17
05.09.2020;Челябинская обл.;3493036;14000;9793;108;0;66;86
15.04.2020;Чукотский АО;49348;1;0;0;0;1;0
22.03.2020;Кемеровская обл.;2694877;2;0;0;0;0;0
24.04.2020;Оренбургская обл.;1977720;305;32;2;0;28;0
10.08.2020;Калужская обл.;1012156;7469;6175;56;0;26;8
13.08.2020;Ивановская обл.;1014646;6785;5475;109;1;29;49
24.10.2020;Амурская обл.;798424;5763;4991;61;0;104;41
22.03.2021;Чукотский АО;49348;720;680;5;0;0;0
26.04.2021;Карачаево-Черкессия;466305;20009;19868;73;0;13;9
24.06.2020;Ярославская обл.;1265684;4526;2864;18;1;44;178
04.11.2020;Иркутская обл.;2404195;25273;21391;460;12;245;278
07.06.2020;Карелия;622484;614;224;2;0;41;9
20.12.2020;Владимирская обл.;1378337;16579;14892;414;0;187;181
10.02.2021;Воронежская обл.;2333768;61909;55657;1696;22;362;367
06.12.2020;Мурманская обл.;753557;29141;26006;510;5;289;397
02.05.2021;Псковская обл.;636546;36353;27690;346;4;90;201
20.09.2020;Кировская обл.;1283238;7839;5521;121;1;70;9
15.06.2020;Магаданская обл.;144091;501;224;4;0;21;2
19.03.2021;Севастополь;436670;12775;11854;544;2;33;16
08.11.2020;Курская обл.;1115237;11972;8807;123;4;139;118
02.11.2020;Карачаево-Черкессия;466305;9781;5702;33;0;86;42
09.03.2021;Алтай;218063;16360;16119;177;2;1;7
10.11.2020;Саратовская обл.;2462950;22477;15345;174;1;201;163
31.01.2021;Ненецкий АО;43997;917;780;0;0;5;2
13.12.2020;Омская обл.;1960081;25729;23220;736;8;241;85
29.12.2020;Северная Осетия;701765;11837;10466;97;0;87;68
07.01.2021;Томская обл.;1078280;25480;21473;226;4;137;211
12.01.2021;Чечня;1436981;9811;6589;98;0;85;391
17.08.2020;Самарская обл.;3193514;7620;5776;117;0;45;6
08.03.2021;Коми;840873;40067;38916;760;1;77;78
12.01.2021;Камчатский край;315557;10998;9622;82;0;72;69
09.04.2020;Ингушетия;488043;25;0;0;0;0;0
10.04.2020;Севастополь;436670;5;2;0;0;0;0
29.12.2020;Калининградская обл.;994599;17346;15318;165;3;217;383
18.03.2020;Калмыкия;275413;0;0;0;0;0;0
28.03.2021;Карачаево-Черкессия;466305;19628;18581;70;0;18;68
12.08.2020;Ивановская обл.;1014646;6756;5426;108;0;56;25
25.05.2020;Брянская обл.;1210982;3057;1581;31;0;106;107
21.03.2020;Кемеровская обл.;2694877;2;0;0;0;0;0
25.04.2020;Оренбургская обл.;1977720;361;55;2;0;56;23
25.07.2020;Чечня;1436981;1985;1328;31;0;14;2
17.09.2020;Мордовия;805056;5992;4944;39;0;31;52
09.04.2020;Чукотский АО;49348;0;0;0;0;0;0
09.04.2021;Ямало-Ненецкий АО;538547;38175;36835;409;0;18;33
25.03.2021;Крым;1913731;37223;34797;1045;5;57;105
03.08.2020;Сахалинская обл.;490181;2744;1238;0;0;59;5
08.08.2020;Калужская обл.;1012156;7416;6155;56;0;26;24
27.02.2021;Костромская обл.;643324;18358;15492;354;0;40;65
29.03.2020;Краснодарский край;5603420;17;1;0;0;0;1
18.10.2020;Амурская обл.;798424;5201;4622;60;0;68;26
28.12.2020;Волгоградская обл.;2521276;34604;32853;443;6;274;266
06.11.2020;Хакасия;537513;7877;5615;80;3;160;83
06.09.2020;Челябинская обл.;3493036;14063;9816;108;0;63;23
10.06.2020;Ставропольский край;2800674;3338;1650;65;2;85;112
23.09.2020;Тамбовская обл.;1033552;7439;6512;46;0;39;38
20.03.2021;Чукотский АО;49348;719;680;5;0;2;6
04.10.2020;Архангельская обл.;1111031;14072;10257;261;0;176;0
15.08.2020;Московская обл.;7503385;65781;49381;1141;2;153;156
30.07.2020;Еврейская АО;162014;532;455;8;0;3;0
03.07.2020;Тыва;321722;4827;1381;3;0;110;58
02.01.2021;Карелия;622484;28271;21985;166;3;361;320
24.06.2020;Марий Эл;682333;2783;2758;21;1;38;91
13.10.2020;Ростовская обл.;4220452;25175;20028;605;9;277;199
03.08.2020;Москва;12506468;243406;182184;4498;13;693;842
04.08.2020;ХМАО – Югра;1655074;17020;13698;133;2;177;225
25.10.2020;Забайкальский край;1072806;10188;7036;114;5;236;142
31.05.2020;Вологодская обл.;1176689;929;348;7;0;47;16
09.06.2020;Пермский край;2623122;2267;1474;28;0;65;80
20.09.2020;Удмуртия;1513044;4327;3282;62;0;82;21
02.11.2020;Ингушетия;488043;7466;5952;97;1;62;12
10.03.2021;Липецкая обл.;1150201;25688;22254;462;5;97;93
12.11.2020;Калмыкия;275413;10200;7554;115;2;85;175
31.12.2020;Свердловская обл.;4325256;58582;50924;1509;18;394;400
17.12.2020;Башкортостан;4063293;16785;13464;114;3;156;92
15.07.2020;Саха (Якутия);964330;4976;4428;37;2;72;108
27.11.2020;Нижегородская обл.;3234752;53092;47734;1126;14;459;1000
18.03.2021;Кемеровская обл.;2694877;32644;31770;591;2;48;52
05.12.2020;Красноярский край;2876497;37899;30379;1225;14;331;352
10.01.2021;Санкт-Петербург;5351935;276035;166416;8378;50;3010;2684
14.11.2020;Тюменская обл.;1498779;15580;10140;107;4;168;165
18.03.2020;Липецкая обл.;1150201;3;0;0;0;0;0
10.01.2021;Рязанская обл.;1121474;19482;17731;190;6;125;114
03.02.2021;Тыва;321722;15430;14270;190;2;4;23
27.09.2020;Бурятия;984511;6687;5654;68;0;68;40
13.04.2020;Хакасия;537513;12;3;0;0;0;0
10.08.2020;Адыгея;453376;2995;2319;21;0;20;31
08.07.2020;Дагестан;3063885;8280;6354;400;3;48;81
26.03.2021;Краснодарский край;5603420;41815;36673;2266;11;116;94
10.04.2021;Хакасия;537513;21986;21268;512;0;18;10
18.03.2021;Чукотский АО;49348;714;673;5;0;2;0
17.10.2020;Оренбургская обл.;1977720;15151;13420;95;2;170;97
20.10.2020;Амурская обл.;798424;5345;4720;60;0;81;69
12.07.2020;Кемеровская обл.;2694877;2406;1136;13;1;52;25
06.08.2020;Калужская обл.;1012156;7363;6111;56;0;25;16
11.04.2020;Чукотский АО;49348;0;0;0;0;0;0
25.10.2020;Курганская обл.;845537;5383;4258;78;3;79;38
03.05.2020;Тамбовская обл.;1033552;789;113;2;0;60;3
17.06.2020;Челябинская обл.;3493036;4958;2560;47;0;136;97
29.01.2021;Ленинградская обл.;1813816;30265;27342;407;12;223;259
17.02.2021;Ульяновская обл.;1246618;46401;43018;729;8;125;130
23.05.2020;Брянская обл.;1210982;2840;1416;31;0;103;127
20.07.2020;Краснодарский край;5603420;7262;6154;97;1;72;25
08.04.2020;Севастополь;436670;5;2;0;0;0;2
15.08.2020;Самарская обл.;3193514;7522;5760;117;2;50;67
04.09.2020;Магаданская обл.;144091;2020;1683;18;0;28;23
09.12.2020;Новгородская обл.;606476;13703;9680;92;0;211;266
06.01.2021;Пензенская обл.;1331655;27249;21875;333;2;203;137
05.01.2021;Томская обл.;1078280;25211;21070;222;4;140;197
02.11.2020;Астраханская обл.;1017514;9820;7412;172;2;125;48
29.01.2021;Ненецкий АО;43997;905;775;0;0;7;3
15.12.2020;Омская обл.;1960081;26214;23588;750;7;243;310
28.01.2021;Белгородская обл.;1549876;26934;24492;357;5;172;187
04.04.2020;Ярославская обл.;1265684;5;1;0;0;2;0
20.03.2020;Чувашия;1231117;1;0;0;0;0;0
21.03.2021;Севастополь;436670;12838;11910;547;1;31;14
06.11.2020;Курская обл.;1115237;11697;8643;115;4;136;110
22.09.2020;Кировская обл.;1283238;7974;5545;123;1;67;23
28.09.2020;Ставропольский край;2800674;15781;11145;313;3;144;43
25.07.2020;Татарстан;3894284;5404;4410;21;0;32;42
02.11.2020;Иркутская обл.;2404195;24789;20625;437;7;240;98
09.11.2020;Алтай;218063;8808;6176;20;0;127;143
20.04.2021;Ивановская обл.;1014646;33802;32233;1122;5;59;13
12.01.2021;Рязанская обл.;1121474;19727;17908;190;0;122;94
13.10.2020;Крым;1913731;6010;3551;91;2;148;91
16.03.2020;Липецкая обл.;1150201;3;0;0;0;0;0
16.11.2020;Тюменская обл.;1498779;15907;10436;107;0;165;142
22.07.2020;Ямало-Ненецкий АО;538547;9831;4931;68;4;175;342
08.11.2020;Коми;840873;15309;10865;247;2;247;61
13.04.2021;Сахалинская обл.;490181;22206;21846;40;0;4;11
10.11.2020;Хабаровский край;1328302;18629;12194;144;0;242;107
15.12.2020;Кабардино-Балкария;865828;14199;11929;243;1;101;128
19.12.2020;Башкортостан;4063293;17101;13683;120;3;157;150
13.07.2020;Саха (Якутия);964330;4844;4205;35;0;45;90
28.04.2021;Калмыкия;275413;20390;19713;344;1;8;11
12.03.2021;Липецкая обл.;1150201;25882;22527;469;3;96;132
28.09.2020;Коми;840873;8120;6654;108;0;83;22
04.03.2021;Ярославская обл.;1265684;33324;31812;418;4;127;159
21.04.2020;Ростовская обл.;4220452;346;13;0;0;54;0
06.04.2021;Ингушетия;488043;15180;13459;181;0;8;14
04.01.2021;Смоленская обл.;949348;17693;13922;344;2;159;30
07.06.2020;Пермский край;2623122;2135;1370;28;0;68;10
30.01.2021;Новосибирская обл.;2788849;32118;29558;1216;7;136;228
12.05.2020;Архангельская обл.;1111031;494;164;3;0;37;1
27.09.2020;Алтай;218063;3320;2454;12;0;78;32
14.11.2020;Чувашия;1231117;10852;9394;186;0;83;63
02.08.2020;ХМАО – Югра;1655074;16671;13268;130;1;168;212
01.08.2020;Еврейская АО;162014;537;476;8;0;3;6
19.09.2020;Вологодская обл.;1176689;4124;3523;45;0;44;24
24.12.2020;Приморский край;1913037;27615;19568;344;5;236;212
25.11.2020;Крым;1913731;14237;10212;256;6;225;381
02.01.2021;Владимирская обл.;1378337;18913;17010;518;8;174;79
11.11.2020;Воронежская обл.;2333768;28414;26398;382;8;308;361
20.01.2021;Мурманская обл.;753557;40959;36776;758;8;238;468
19.04.2020;Чувашия;1231117;193;9;1;0;29;3
17.10.2020;Ярославская обл.;1265684;9844;9100;52;0;99;89
13.07.2020;Калининградская обл.;994599;2627;1809;41;0;12;0
24.08.2020;Татарстан;3894284;6308;5128;32;0;29;0
09.04.2021;Вологодская обл.;1176689;43468;40501;929;3;79;65
14.12.2020;Камчатский край;315557;8768;7723;82;0;80;62
06.09.2020;ХМАО – Югра;1655074;20045;19021;174;0;78;79
08.09.2020;Карачаево-Черкессия;466305;5586;4468;28;0;63;0
01.05.2021;Пермский край;2623122;54551;49385;2176;8;101;121
11.02.2021;Саратовская обл.;2462950;45843;40629;590;4;243;258
30.08.2020;Еврейская АО;162014;620;550;9;0;5;0
24.12.2020;Северная Осетия;701765;11396;10118;91;6;90;80
08.12.2020;Рязанская обл.;1121474;15036;13455;100;2;124;143
18.04.2020;Липецкая обл.;1150201;129;38;0;0;21;9
02.09.2020;Ивановская обл.;1014646;7471;6184;119;0;38;28
13.05.2020;Кемеровская обл.;2694877;269;86;7;0;9;6
04.04.2020;Оренбургская обл.;1977720;12;1;1;0;0;1
08.08.2020;Челябинская обл.;3493036;11999;7586;95;0;87;119
19.02.2021;Тюменская обл.;1498779;30515;28692;269;1;91;89
18.07.2020;Тамбовская обл.;1033552;5484;4216;30;0;41;56
07.09.2020;Сахалинская обл.;490181;4762;2886;0;0;44;16
25.10.2020;Костромская обл.;643324;6679;4500;96;0;100;13
05.05.2020;Краснодарский край;5603420;1437;443;21;0;97;34
17.01.2021;Башкортостан;4063293;21902;16522;165;1;167;125
20.10.2020;Саха (Якутия);964330;11677;7827;106;0;157;54
25.12.2020;Волгоградская обл.;2521276;33771;32035;427;5;279;262
17.09.2020;Самарская обл.;3193514;10312;7947;159;14;125;59
10.06.2020;Псковская обл.;636546;1366;475;12;0;60;21
28.06.2020;Ростовская обл.;4220452;9420;5482;117;2;109;129
13.05.2020;Севастополь;436670;130;35;2;0;1;7
07.12.2020;Томская обл.;1078280;19850;15056;182;4;197;231
16.02.2021;Чувашия;1231117;20726;18938;966;5;65;73
26.04.2021;Магаданская обл.;144091;8319;8159;99;0;2;4
11.07.2020;Архангельская обл.;1111031;6873;4297;96;10;114;497
10.03.2021;Карелия;622484;41853;38078;331;4;105;75
28.10.2020;Ненецкий АО;43997;433;160;0;0;4;1
13.01.2021;Омская обл.;1960081;33370;30118;970;7;240;251
26.08.2020;Московская обл.;7503385;67451;50889;1174;3;143;151
15.03.2020;Крым;1913731;0;0;0;0;0;0
18.08.2020;Кировская обл.;1283238;5745;4657;88;1;51;15
13.02.2021;Курская обл.;1115237;28496;25248;413;4;163;169
27.02.2021;Забайкальский край;1072806;38523;36849;528;2;105;121
09.02.2021;Иркутская обл.;2404195;51009;46359;1641;7;256;337
25.01.2021;Нижегородская обл.;3234752;81625;73905;2034;16;488;491
01.04.2020;Коми;840873;54;0;0;0;32;0
04.03.2021;Оренбургская обл.;1977720;37903;35151;623;3;74;59
17.01.2021;Красноярский край;2876497;51951;47700;1985;20;320;370
12.12.2020;Санкт-Петербург;5351935;170718;96557;6257;79;3776;2369
26.12.2020;Свердловская обл.;4325256;56568;48892;1424;15;406;408
16.04.2021;Брянская обл.;1210982;37045;36190;296;1;83;91
13.07.2020;Амурская обл.;798424;2143;1149;23;0;46;22
10.09.2020;Калужская обл.;1012156;8329;7162;71;0;29;33
10.05.2020;Чукотский АО;49348;30;11;0;0;2;0
31.03.2020;Алтай;218063;0;0;0;0;0;0
31.05.2020;Ямало-Ненецкий АО;538547;2375;975;9;0;65;22
24.06.2020;Оренбургская обл.;1977720;3377;2581;15;1;67;53
03.10.2020;Кемеровская обл.;2694877;10339;7503;110;0;168;61
17.04.2021;Ставропольский край;2800674;51955;49042;1298;5;102;139
13.06.2020;Ивановская обл.;1014646;3323;1351;27;0;95;3
19.01.2021;Башкортостан;4063293;22235;16743;167;0;167;173
18.10.2020;Саха (Якутия);964330;11388;7746;106;0;135;17
21.02.2021;Тюменская обл.;1498779;30702;28874;273;0;93;90
08.02.2021;Хакасия;537513;20796;19350;399;0;48;19
16.04.2020;Липецкая обл.;1150201;96;22;0;0;11;7
25.09.2020;Краснодарский край;5603420;13501;10371;265;3;93;41
21.04.2020;Калмыкия;275413;77;9;3;0;0;0
19.05.2020;Сахалинская обл.;490181;56;29;0;0;6;0
10.12.2020;Рязанская обл.;1121474;15293;13787;104;2;130;181
27.02.2021;Курганская обл.;845537;17569;15613;305;4;72;76
18.08.2020;Мордовия;805056;5047;3916;38;0;32;15
19.04.2020;Карачаево-Черкессия;466305;67;1;0;0;17;0
27.03.2020;Тамбовская обл.;1033552;3;0;0;0;0;0
23.11.2020;Ленинградская обл.;1813816;15498;9821;131;0;202;163
08.11.2020;Ульяновская обл.;1246618;22483;17970;279;0;214;95
16.03.2021;Ростовская обл.;4220452;77225;68564;3320;5;246;346
28.11.2020;Белгородская обл.;1549876;15873;14407;88;3;173;251
01.09.2020;Еврейская АО;162014;632;563;9;0;6;13
25.04.2020;Ярославская обл.;1265684;342;23;2;0;37;4
04.09.2020;ХМАО – Югра;1655074;19891;18842;172;2;75;129
17.05.2020;Ингушетия;488043;1480;353;35;0;37;7
19.03.2021;Архангельская обл.;1111031;58697;53979;777;6;90;113
06.08.2020;Магаданская обл.;144091;1442;1075;14;0;21;27
13.01.2021;Новгородская обл.;606476;20902;15276;99;0;186;325
16.12.2020;Пензенская обл.;1331655;23097;19164;280;2;188;123
24.12.2020;Ставропольский край;2800674;33372;29926;685;5;242;224
03.06.2020;Чечня;1436981;1278;894;14;1;14;47
19.02.2021;Астраханская обл.;1017514;27267;18093;537;3;129;267
12.05.2020;Тыва;321722;144;30;0;0;51;1
14.10.2020;Дагестан;3063885;14597;12782;696;6;85;89
12.05.2020;Чукотский АО;49348;31;13;0;0;0;2
09.09.2020;Адыгея;453376;3567;3042;30;0;21;20
13.05.2020;Хакасия;537513;524;146;9;1;21;44
21.06.2020;Бурятия;984511;2549;1649;16;2;48;39
28.03.2021;Тамбовская обл.;1033552;29138;26657;403;3;92;57
08.09.2020;Калужская обл.;1012156;8273;7092;71;0;22;42
24.04.2021;Челябинская обл.;3493036;58240;53828;1393;4;112;119
18.04.2021;Брянская обл.;1210982;37218;36362;298;0;87;90
15.07.2020;Амурская обл.;798424;2227;1234;30;3;42;40
18.02.2021;Калмыкия;275413;18563;17494;285;2;54;49
19.09.2020;Ямало-Ненецкий АО;538547;14398;13259;98;0;57;15
11.02.2021;Хабаровский край;1328302;46974;43137;266;1;171;277
11.01.2021;Кабардино-Балкария;865828;16912;15299;283;2;97;134
22.12.2020;Смоленская обл.;949348;15605;11798;307;0;154;209
07.02.2021;Иркутская обл.;2404195;50496;45866;1625;8;259;356
22.11.2020;Новосибирская обл.;2788849;21259;17263;693;6;178;94
08.06.2020;Московская обл.;7503385;44983;12031;578;11;751;569
22.03.2020;Архангельская обл.;1111031;2;0;0;0;1;0
12.02.2021;Ингушетия;488043;14366;12549;165;0;30;13
11.02.2021;Курская обл.;1115237;28166;24908;407;4;165;177
17.08.2020;Удмуртия;1513044;2792;2286;34;0;28;4
08.04.2020;Ростовская обл.;4220452;21;0;0;0;4;0
20.08.2020;Кировская обл.;1283238;5862;4700;90;1;60;18
29.11.2020;Карелия;622484;14699;8551;100;1;414;264
22.07.2020;Вологодская обл.;1176689;2165;1693;19;0;25;27
29.12.2020;Приморский край;1913037;28810;20513;368;5;237;253
26.10.2020;Ненецкий АО;43997;424;159;0;0;4;2
15.01.2021;Омская обл.;1960081;33862;30611;986;8;247;244
05.12.2020;Томская обл.;1078280;19443;14620;178;4;205;213
02.09.2020;Москва;12506468;263684;216742;4844;12;625;1359
11.05.2020;Севастополь;436670;126;24;2;0;4;0
26.09.2020;Марий Эл;682333;4765;4187;49;0;23;37
08.06.2020;Псковская обл.;636546;1269;440;12;0;37;3
15.09.2020;Самарская обл.;3193514;10066;7817;144;0;122;92
02.04.2021;Мордовия;805056;19125;17121;207;2;36;44
23.04.2021;Челябинская обл.;3493036;58128;53709;1389;7;111;125
29.03.2021;Тамбовская обл.;1033552;29229;26710;405;2;91;53
10.02.2021;Хабаровский край;1328302;46803;42860;265;2;173;272
12.01.2021;Кабардино-Балкария;865828;17008;15427;284;1;96;128
14.05.2020;Чукотский АО;49348;36;15;0;0;1;0
20.09.2020;Ямало-Ненецкий АО;538547;14461;13263;99;1;63;4
14.09.2020;Калужская обл.;1012156;8472;7230;71;0;39;9
12.04.2021;Брянская обл.;1210982;36707;35862;294;0;87;88
17.07.2020;Амурская обл.;798424;2314;1373;31;1;43;71
20.12.2020;Чечня;1436981;7159;3343;87;1;143;62
28.12.2020;Приморский край;1913037;28573;20260;363;5;240;89
13.02.2021;Иркутская обл.;2404195;52031;47730;1671;7;259;401
21.07.2020;Вологодская обл.;1176689;2140;1666;19;0;26;37
07.01.2021;Татарстан;3894284;13907;10860;206;3;89;19
09.02.2021;Курская обл.;1115237;27830;24558;402;5;169;166
14.08.2020;Кировская обл.;1283238;5525;4606;84;1;62;18
10.09.2020;Чечня;1436981;2327;1739;40;0;5;36
21.03.2020;Архангельская обл.;1111031;1;0;0;0;0;0
07.06.2020;Московская обл.;7503385;44232;11462;567;10;754;538
01.11.2020;Ненецкий АО;43997;474;161;0;0;6;0
23.11.2020;Новосибирская обл.;2788849;21431;17329;698;5;172;66
17.01.2021;Омская обл.;1960081;34355;31098;1000;7;245;241
23.12.2020;Смоленская обл.;949348;15762;11990;314;7;157;192
11.12.2020;Томская обл.;1078280;20648;15908;190;5;199;203
09.04.2020;Ростовская обл.;4220452;24;1;0;0;3;1
17.05.2020;Севастополь;436670;138;75;2;0;3;1
21.09.2020;Самарская обл.;3193514;10776;8276;173;1;112;19
06.06.2020;Псковская обл.;636546;1163;437;12;1;32;17
18.05.2020;Сахалинская обл.;490181;50;29;0;0;0;1
26.09.2020;Краснодарский край;5603420;13596;10406;271;6;95;35
13.01.2021;Башкортостан;4063293;21235;16001;161;2;167;149
24.10.2020;Саха (Якутия);964330;12386;8093;106;0;177;74
18.10.2020;Тыва;321722;8454;7184;96;0;54;40
01.06.2020;Карачаево-Черкессия;466305;1137;327;5;0;70;19
09.11.2020;Ульяновская обл.;1246618;22694;18023;279;0;211;53
22.11.2020;Ленинградская обл.;1813816;15296;9658;131;0;204;205
28.03.2020;Тамбовская обл.;1033552;3;0;0;0;0;0
15.02.2021;Тюменская обл.;1498779;30138;28293;265;0;110;94
26.02.2021;Курганская обл.;845537;17497;15537;301;4;74;71
22.04.2020;Липецкая обл.;1150201;213;62;2;0;24;2
14.06.2020;Ивановская обл.;1014646;3417;1378;27;0;94;27
04.12.2020;Рязанская обл.;1121474;14538;12775;96;2;120;369
23.06.2020;Оренбургская обл.;1977720;3310;2528;14;0;65;116
22.03.2020;Калининградская обл.;994599;7;0;0;0;0;0
04.10.2020;Кемеровская обл.;2694877;10508;7526;110;0;169;23
04.04.2021;Бурятия;984511;36193;34647;791;0;49;48
05.03.2021;Ставропольский край;2800674;47849;44077;1106;6;154;267
27.04.2021;Пермский край;2623122;54142;48915;2146;11;102;111
19.10.2020;Чувашия;1231117;9240;7705;113;0;49;0
03.09.2020;Еврейская АО;162014;646;563;9;0;7;0
02.09.2020;ХМАО – Югра;1655074;19744;18601;169;2;68;110
14.06.2020;Татарстан;3894284;3914;3617;10;0;46;3
24.04.2020;Ярославская обл.;1265684;305;19;2;1;42;1
11.11.2020;Ставропольский край;2800674;23527;18569;461;4;208;210
29.11.2020;Белгородская обл.;1549876;16038;14436;88;0;165;29
17.03.2021;Ростовская обл.;4220452;77466;68913;3329;9;241;349
26.03.2021;Удмуртия;1513044;30264;26896;748;3;80;75
12.11.2020;Тыва;321722;10584;9719;121;1;97;155
18.02.2021;Астраханская обл.;1017514;27138;17826;534;3;130;274
17.12.2020;Пензенская обл.;1331655;23290;19285;283;3;193;121
14.01.2021;Новгородская обл.;606476;21092;15534;100;1;190;258
18.03.2021;Архангельская обл.;1111031;58607;53866;771;5;91;30
07.08.2020;Магаданская обл.;144091;1464;1113;14;0;22;38
19.09.2020;Самарская обл.;3193514;10550;8210;172;9;115;155
04.06.2020;Псковская обл.;636546;1066;403;10;0;112;35
15.05.2020;Севастополь;436670;135;65;2;0;3;9
09.12.2020;Томская обл.;1078280;20254;15478;185;3;197;209
30.10.2020;Ненецкий АО;43997;457;161;0;0;6;1
19.01.2021;Омская обл.;1960081;34835;31535;1015;8;237;218
26.02.2021;Забайкальский край;1072806;38418;36728;526;2;98;120
16.08.2020;Кировская обл.;1283238;5631;4629;86;1;52;7
07.02.2021;Курская обл.;1115237;27492;24227;395;5;170;178
27.06.2020;Ростовская обл.;4220452;9311;5353;115;10;116;271
11.02.2021;Иркутская обл.;2404195;51521;46990;1656;7;258;328
